,8,7,6,5,4
Condition S/R,All | All,"All | [0, 1, -1]","All | [0, -1]","All | [0, 1]",All | [0]
Seed,20230619,20230619,20230619,20230619,20230619
Initial Normalized Loss,5.709,7.132,7.215,6.82,6.674
Final Normalized Loss,0.001,0.003,0.006,0.002,0.011
Loss Decrease (%),99.983,99.964,99.913,99.967,99.842
Initial g_Na GTE,16.58,16.747,16.747,16.747,16.747
Final g_Na GTE,0.318,1.196,2.266,3.128,4.821
g_Na GTE Decrease (%),98.082,92.86,86.466,81.321,71.21
Initial g_K GTE,7.382,7.215,7.215,7.215,7.215
Final g_K GTE,0.207,0.82,1.681,2.113,3.546
g_K GTE Decrease (%),97.196,88.632,76.697,70.71,50.854
Total Epochs,200,200,200,200,200
