,8,3,2,1,0
Condition S/R,All | All,"[0, 1, -1] | All","[0, -1] | All","[0, 1] | All",[0] | All
Seed,20230619,20230619,20230619,20230619,20230619
Initial Normalized Loss,5.709,46.422,47.394,52.52,50.171
Final Normalized Loss,0.001,1.439,0.748,3.98,26.54
Loss Decrease (%),99.983,96.901,98.422,92.423,47.101
Initial g_Na GTE,16.58,16.914,16.914,16.914,16.747
Final g_Na GTE,0.318,5.513,9.844,9.748,15.605
g_Na GTE Decrease (%),98.082,67.407,41.799,42.366,6.82
Initial g_K GTE,7.382,7.215,7.215,7.215,7.548
Final g_K GTE,0.207,3.814,4.342,4.272,9.189
g_K GTE Decrease (%),97.196,47.138,39.825,40.795,-21.731
Total Epochs,200,200,200,200,200
Optimization Time (H:M:S),4:38:21,4:18:47,4:57:49,8:23:16,7:58:22
